parsed,lcvp
Acartia bispinosa,
Acartia clausi,
Acartia clausii,
Acartia danae,
Acartia ensifera,
Acartia erythraea,
Acartia fossae,
Acartia giesbrechti,
Acartia hudsonica,
Acartia lilljeborghi,
Acartia lilljeborgi,
Acartia longiremis,
Acartia negligens,
Acartia pacifica,
Acartia simplex,
Acartia sinjiensis,
Acartia tonsa,
Acartia tranteri,
Acasis viretata,
Acasta spongites,
Acaudina,
Acca sellowiana,Acca sellowiana (O.Berg) Burret
Accalathura crenulata,
Accipiter,
Accipiter cooperii,
Accipiter gentilis,
Accipiter gularis,
Accipiter nisus,
Accipiter soloensis,
Accipiter striatus,
Accipiter unidentified,
Accipitridae,
Accipitriformes,
Acella haldemani,
Acentria ephemerella,
Acentrogobius caninus,
Acentronura dendritica,
Acer campestre,Acer campestre L.
Acer circinatum,Acer circinatum Pursh
Acer glabrum,Acer glabrum Torr.
Acer macrophyllum,Acer macrophyllum Pursh
Acer negundo,Acer negundo L.
Acer pensylvanicum,Acer pensylvanicum L.
Acer platanoides,Acer platanoides L.
Acer pseudoplatanus,Acer pseudoplatanus L.
Acer rubrum,Acer rubrum L.
Acer saccharum,Acer saccharum Marshall
Acer spicatum,Acer spicatum Lam.
Aceratium concinnum,Aceratium concinnum (S.Moore) C.T.White
Aceratium doggrellii,Aceratium doggrellii C.T.White
Aceroides,
Aceroides latipes,
Acerra normalis,
Acervochalina limbata,
Aceste bellidifera,
Acestrorhynchus lacustris,
Acetabularia,
Acetabularia acetabulum,
Acetabularia major,
Acetes,
Acetes americanus,
Acetes carolinae,
Acetes sibogae,
Achaearanea maricaoensis,
Achaeus,
Achaeus cranchii,
Acharax,
Acharax johnsoni,
Achelia,
Achelia alaskensis,
Achelia echinata,
Achelia gracilipes,
Achelia hispida,
Achelia hoekii,
Achelia laevis,
Achelia longipes,
Achelia sawayai,
Achelia scabra,
Achelia simplissima,
Achelia spinosa,
Acherontia atropos,
Achillea atrata,Achillea atrata L.
Achillea millefolium,Achillea millefolium L.
Achillea ptarmica,Achillea ptarmica L.
Achiropsetta tricholepis,
Achirus declivis,
Achirus lineatus,
Achlya flavicornis,
Achnanthes,
Achnanthes brevipes,
Achnanthes delicatula,
Achnanthes exigua,
Achnanthes flexella,
Achnanthes longipes,
Achnanthes minutissima,
Achnanthes taeniata,
Achnanthidium,
Achnatherum hymenoides,Achnatherum hymenoides (Roem. & Schult.) Barkworth
Achoerodus gouldii,
Achoerodus viridis,
Acholoe squamosa,
Achroia grisella,
Achuni caspi,
Achyrocline saturioides,
Achytonix epipaschia,
Achytonix praeacuta,
Aciculata,
Acidostoma,
Acidostoma hancocki,
Acidostoma nodiferum,
Acidostoma obesum,
Acidota crenata,
Acila castrensis,
Acinetospora crinita,
Acipenser brevirostrum,
Acipenser fulvescens,
Acipenser oxyrhynchus,
Acipenser oxyrinchus,
Acipenseridae,
Acirsa borealis,
Acleris abietana,
Acleris aspersana,
Acleris bergmanniana,
Acleris comariana,
Acleris emargana,
Acleris ferrugana,
Acleris forskaleana,
Acleris holmiana,
Acleris notana,
Acleris rhombana,
Acleris shepherdana,
Acleris sparsana,
Acleris variegana,
Aclididae,
Aclis,
Aclis hendersoni,
Aclis striata,
Aclis walleri,
Acmaea,
Acmaea pustulata,
Acmaeidae,
Acmella bellidioides,Acmella bellidioides (Sm.) R.K.Jansen
Acmena divaricata,Syzygium divaricatum (Merr. & L.M.Perry) Craven & Biffin
Acmena hemilampra,Syzygium hemilamprum (F.Muell.) Craven & Biffin
Acmena resa,Syzygium resa (B.Hyland) Craven & Biffin
Acmenosperma claviflorum,Syzygium claviflorum (Roxb.) Wall. ex A.M.Cowan & Cowan
Acmira catherinae,
Acmira cerruti,
Acmira finitima,
Acmira lopezi,
Acoetes pacifica,
Acoetes pleei,
Acoetidae,
Acomys kempi,
Acomys percivali,
Aconitum,
Aconitum delphiniifolium,
Acontiaria,
Acontiophorus armatus,
Acosmium dasycarpum,Leptolobium dasycarpum Vogel
Acosmium subelegans,Acosmium subelegans (Mohlenbr.) Yakovlev
Acourtia nana,Acourtia nana (A.Gray) Reveal & R.M.King
Acraea issoria,
Acreichthys hajam,
Acreichthys tomentosus,
Acrididae,
Acris crepitan,
Acris gryllus,
Acrobasis consociella,
Acrocalanus,
Acrocalanus andersoni,
Acrocalanus gibber,
Acrocalanus gracilis,
Acrocalanus longicornis,
Acrocalanus monachus,
Acrocephalidae,
Acrocephalus bistrigiceps,
Acrocephalus dumetorum,
Acrocephalus orientalis,
Acrocephalus palustris,
Acrocephalus schoenobaenus,
Acrocephalus scirpaceus,
Acrocercops brongniardella,
Acrochaete,
Acrochaete repens,
Acrochaete viridis,
Acrochaetiales,
Acrochaetium secundatum,
Acrocirridae,
Acrocirrus,
Acrocirrus crassifilis,
Acrocirrus frontifilis,
Acrocirrus heterochaetus,
Acrocnida brachiata,
Acrolepiopsis assectella,
Acromycter nezumi,
Acronicta aceris,
Acronicta alni,
Acronicta funeralis,
Acronicta grisea,
Acronicta hesperida,
Acronicta impleta,
Acronicta impressa,
Acronicta leporina,
Acronicta megacephala,
Acronicta perdita,
Acronicta psi,
Acronicta radcliffei,
Acronicta rumicis,
Acronychia acidula,Acronychia acidula F.Muell.
Acronychia acronychioides,Acronychia acronychioides (F.Muell.) T.G.Hartley
Acronychia laevis,Acronychia laevis J.R.Forst. & G.Forst.
Acronychia porteri,Maclurodendron porteri (Hook.f.) T.G.Hartley
Acroperus harpae,
Acropoma hanedai,
Acropoma japonica,
Acropoma japonicum,
Acropora,
Acropora abrotanoides,
Acropora aculeus,
Acropora anthocercis,
Acropora aspera,
Acropora austera,
Acropora azurea,
Acropora bushyensis,
Acropora cerealis,
Acropora cerialis,
Acropora clathrata,
Acropora cophodactyla,
Acropora cytherea,
Acropora digitifera,
Acropora digitiferea,
Acropora divaricata,
Acropora donei,
Acropora echinata,
Acropora elseyi,
Acropora florida,
Acropora gemmifera,
Acropora glauca,
Acropora horrida,
Acropora humilis,
Acropora hyacinthus,
Acropora insignis,
Acropora intermedia,
Acropora latistella,
Acropora listeri,
Acropora longicyathus,
Acropora loripes,
Acropora lutkeni,
Acropora microclados,
Acropora microphthalma,
Acropora micropthalma,
Acropora millepora,
Acropora monticulosa,
Acropora muricata,
Acropora nana,
Acropora nassuta,
Acropora nasuta,
Acropora nobilis,
Acropora palifera,
Acropora palmarae,
Acropora paniculata,
Acropora polystoma,
Acropora pulchra,
Acropora robusta,
Acropora samoensis,
Acropora sarmentosa,
Acropora secale,
Acropora selago,
Acropora spathulata,
Acropora subulata,
Acropora tenuis,
Acropora valenciennesi,
Acropora valida,
Acropora verweyi,
Acropora willisae,
Acropora yongei,
Acrosiphonia arcta,
Acrosiphoniaceae,
Acrosorium,
Acrosorium ciliolatum,
Acrosorium decumbens,
Acrosorium flabellatum,
Acrosorium reptans,
Acrosorium venulosum,
Acrosorium yendoi,
Acrosterigma,
Acrosterigma elongata,
Acrosterigma reeveanum,
Acrosterigma vlamigi,
Acrosymphyton,
Acrosymphyton brainardii,
Acrosymphyton taylorii,
Acrothinium gaschkevitchii,
Acrothrix gracilis,
Acrotona aterrima,
Acrotona convergens,
Acrotona parens,
Acrotona pseudotenera,
Acrotona pygmaea,
Actaea,
Actaea capricornensis,
Actaea catalai,
Actaea jacquelinae,
Actaea tuberculosa,
Actaeodes mutatus,
Actenicerus,
Acteocina,
Acteocina bidentata,
Acteocina canaliculata,
Acteocina candei,
Acteocina carinata,
Acteocina culcitella,
Acteocina eximia,
Acteocina harpa,
Acteocina hawaiensis,
Acteocina inculta,
Acteocina koyasensis,
Acteocina lepta,
Acteocina oryza,
Acteocina recta,
Acteon,
Acteon candens,
Acteon hebes,
Acteon punctostriatus,
Acteon tornatilis,
Acteon traskii,
Acteonidae,
Actinastrum,
Actinastrum hantzschii,
Actinauge,
Actinauge longicornis,
Actinauge richardi,
Actinauge verrilli,
Actinia,
Actinia equina,
Actinia fragacea,
Actinia prasina,
Actiniaria,
Actiniaria spa,
Actiniaria spb,
Actiniaria spc,
Actiniidae,
Actiniscus pentasterias,
Actinococcus peltoeformis,
Actinococcus subcutaneus,
Actinocucumis,
Actinocyclus,
Actinocyclus adriaticus,
Actinocyclus curvatulus,
Actinocyclus normanii,
Actinocyclus octonarius,
Actinocyclus spec,
Actinocythereis,
Actinodaphne macrophylla,Actinodaphne macrophylla (Blume) Nees
Actinodaphne pruinosa,Actinodaphne pruinosa Nees
Actinodaphne sesquipedalis,Actinodaphne sesquipedalis (Wall.) Hook.f. & Thomson ex Hook.f.
Actinodaphne tadulingamii,Actinodaphne tadulingamii Gamble
Actinomma leptodermum,
Actinomonas,
Actinopoda,
Actinopterygii,
Actinoptychus,
Actinoptychus senarius,
Actinoptychus undulatus,
Actinopyga spinea,
Actinoscyphiidae,
Actinoseta,
Actinoseta chelisparsa,
Actinoseta hummelincki,
Actinostemon communis,Actinostemon klotzschii (Didr.) Pax
Actinostemon comunis,
Actinostemon concepcionis,Actinostemon concepcionis (Chodat & Hassl.) Hochr.
Actinostemon concolor,Actinostemon concolor (Spreng.) Müll.Arg.
Actinostemon klotzschii,Actinostemon klotzschii (Didr.) Pax
Actinostemum concepcionis,
Actinostola callosa,
Actinostolidae,
Actinothoe sphyrodeta,
Actinotia polyodon,
Actinotrichia,
Actinotrichia fragilis,
Actisecos,
Actitis hypoleucos,
Actitis macularia,
Actitis macularius,
Actumnus dorsipes,
Actumnus setifer,
Actumnus squamosus,
Acuminodeutopus,
Acuminodeutopus heteruropus,
Acuminodeutopus naglei,
Acupalpus consputus,
Acupalpus exiguus,
Acupalpus parvulus,
Acytolepis puspa,
Adaina microdactyla,
Adalaria,
Adalaria proxima,
Adalia bipunctata,
Adalia decempunctata,
Adamsia,
Adamsia carciniopados,
Adamsia sociabilis,
Addisonia paradoxa,
Adelia triloba,Adelia triloba (Müll.Arg.) Hemsl.
Adelie penguin,
Adelosebastes latens,
Adelosebastes lutens,
Adelphagrotis indeterminata,
Adelphagrotis stellaris,
Adenandra uniflora,Adenandra uniflora (L.) Willd.
Adenandra villosa,Adenandra villosa (P.J.Bergius) Licht. ex Schult.
Adenanthera bicolor,Adenanthera bicolor Moon
Adenifera armata,
Adenocline pauciflora,Adenocline pauciflora Turcz.
Adenomera marmorata,
Adenorama marmorata,
Adenostyles glabra,Adenostyles alpina (L.) Bluff & Fingerh.
Adeona,
Adeonella,
Adeonella lichenoides,
Adeonellopsis,
Adeonellopsis gracilis,
Adeonellopsis kermadecensis,
Adeonellopsis neozelanica,
Adeonellopsis pentapora,
Adeonellopsis pervipuncta,
Aderus populneus,
Adicella filicornis,
Adicella reducta,
Adipicola,
Adipicola crypta,
Adipicola pacifica,
Admete,
Admete contabulata,
Admete couthouyi,
Admete gracilior,
Admete tenuissima,
Admete viridula,
Adontorhina cyclia,
Adontorhina lynnae,
Adoxophyes orana,
Adrana tellinoides,
Adrastus pallens,
Adreus fascicularis,
Adventor elongatus,
Adyte assimilis,
Aechmophorus clarkii,
Aechmophorus occidentalis,
Aedicira,
Aedicira belgicae,
Aedicira pacifica,
Aedicira parva,
Aega,
Aega dentata,
Aega monophthalma,
Aega psora,
Aega ventrosa,
Aegathoa medialis,
Aegathoa oculata,
Aegialites,
Aegidae,
Aegina citrea,
Aeginella longicornis,
Aeginella spinosa,
Aeginellidae,
Aeginina,
Aeginina longicornis,
Aeginopsis,
Aeginopsis laurentii,
Aeginura grimaldii,
Aegiphila integrifolia,Aegiphila integrifolia (Jacq.) B.D.Jacks.
Aegiphila novogranatensis,Aegiphila novogranatensis Moldenke
Aegiphila panamensis,Aegiphila panamensis Moldenke
Aegiphila sellowiana,Aegiphila sellowiana Cham.
Aegires citrinus,
Aegires punctilucens,
Aegisthidae,
Aegisthus,
Aegisthus aculeatus,
Aegisthus dubius,
Aegisthus mucronatus,
Aegithalos caudatus,
Aegolius acadicus,
Aegolius funereus,
Aemona amathusia,
Aeolidacea,
Aeolidia,
Aeolidia papillosa,
Aeolidiacea,
Aeolidiella,
Aeolidiella alderi,
Aeolidiella glauca,
Aeolidiella sanguinea,
Aeolidiidae,
Aeolidina,
Aeoliscus strigatus,
Aeoloplides elegans,
Aepinus septemspinosus,
Aepyceros melampus,
Aequipecten,
Aequipecten glyptus,
Aequipecten muscosus,
Aequipecten opercularis,
Aequorea,
Aequorea macrodactyla,
Aequorea vitrina,
Aeronautes saxatalis,
Aeropedellus clavatus,
Aeropsis rostrata,
Aesalus asiaticus,
Aeschynomene pratensis,Aeschynomene pratensis Small
Aesculus hippocastanum,Aesculus hippocastanum L.
Aesopia,
Aesopia cornuta,
Aesopus stearnsii,
Aetea,
Aetea anguina,
Aetea australis,
Aetea capillaris,
Aetea ligulata,
Aetea sica,
Aetea truncata,
Aethaloperca rogaa,
Aethalura intertexta,
Aethalura punctulata,
Aetheloperca rogaa,
Aetheopappus caucasicus,Psephellus caucasicus (Sosn.) Greuter
Aethes cnicana,
Aethes margaritana,
Aethes rubigana,
Aethes rutilana,
Aethes smeathmanniana,
Aethia cristatella,
Aethia psittacula,
Aethomys hindei,
Aethotaxis mitopteryx,
Aetideidae,
Aetideopsis,
Aetideopsis armata,
Aetideopsis carinata,
Aetideopsis minor,
Aetideopsis multiserrata,
Aetideopsis rostrata,
Aetideus,
Aetideus acutus,
Aetideus arcuatus,
Aetideus armatus,
Aetideus australis,
Aetideus bradyi,
Aetideus geisbrechti,
Aetideus giesbrechti,
Aetideus pacificus,
Aetideus pseudarmatus,
Aetobatus narinari,
Aetomylaeus nichofii,
Aeverrillia,
Aeverrillia armata,
Aeverrillia pilosa,
Aeverrillia setigera,
Agalinis aspera,Agalinis aspera (Douglas ex Benth.) Britton
Agalinus purpurea,
Agalma,
Agalma elegans,
Agalma okeni,
Agapeta hamana,
Agapetus fuscipes,
Agardhiella tenera,
Agaricia fragilis,
Agaricochirus alexandri,
Agarum clathratum,
Agarum fimbriatum,
Agassizia excentrica,
Agathidium nigripenne,
Agathis atropurpurea,Agathis atropurpurea B.Hyland
Agathis robusta,Agathis robusta (C.Moore ex F.Muell.) F.M.Bailey
Agathosma bifida,Agathosma bifida (Jacq.) Bartl. & H.L.Wendl.
Agathosma capensis,Agathosma capensis (L.) Dümmer
Agathosma ciliaris,Agathosma ciliaris (L.) Druce
Agathosma hookeri,Agathosma hookeri Sond.
Agathosma imbricata,Agathosma imbricata (L.) Willd.
Agathosma lanceolata,Agathosma lanceolata (L.) Engl.
Agathosma serpyllacea,Agathosma serpyllacea Licht. ex Schult.
Agathotoma candidissima,
Agatrix smithii,
Agelaius phoeniceus,
Agelaius tricolor,
Agelas,
Agelas mauritiana,
Agelasa nigriceps,
Agelosus carinatus,
Agelosus unicolor,
Ageneotettix deorum,
Ageratina herbacea,Ageratina herbacea (A.Gray) R.M.King & H.Rob.
Ageratum altissimum,Ageratina altissima (L.) R.M.King & H.Rob.
Agetus,
Agetus flaccus,
Agetus limbatus,
Agetus typicus,
Agkistrodon contortrix,
Aglaia,
Aglaia aspera,Aglaia sexipetala Griff.
Aglaia australiensis,Aglaia australiensis Pannell
Aglaia barberi,
Aglaia cordata,Aglaia tomentosa Teijsm. & Binn.
Aglaia exstipulata,Aglaia exstipulata (Griff.) W.Theob.
Aglaia forbesii,Aglaia forbesii King
Aglaia ganggo,Aglaia sylvestris (M.Roem.) Merr.
Aglaia glabriflora,Aglaia leptantha Miq.
Aglaia grandis,Aglaia grandis Korth.
Aglaia jainii,Aglaia lawii (Wight) C.J.Saldanha
Aglaia meliosmoides,Aglaia simplicifolia (Bedd.) Harms
Aglaia meridionalis,Aglaia meridionalis Pannell
Aglaia odoratissima,Aglaia odoratissima Blume
Aglaia oligocarpa,Aglaia lawii (Wight) C.J.Saldanha
Aglaia oligophylla,Aglaia oligophylla Miq.
Aglaia palembanica,Aglaia palembanica Miq.
Aglaia ridleyi,Aglaia oligophylla Miq.
Aglaia rubescens,Aglaia macrocarpa (Miq.) Pannell
Aglaia rufa,Aglaia rufibarbis Ridl.
Aglaia sapindina,Aglaia sapindina (F.Muell.) Harms
Aglaia tenuicaulis,Aglaia tenuicaulis Hiern
Aglaia tomentosa,Aglaia tomentosa Teijsm. & Binn.
Aglais io,
Aglais urticae,
Aglaja,
Aglaja ocelligera,
Aglajidae,
Aglantha,
Aglantha digitale,
Aglantha digitalis,
Aglaodiaptomus clavipes,
Aglaophamus,
Aglaophamus circinata,
Aglaophamus erectans,
Aglaophamus igalis,
Aglaophamus inermis,
Aglaophamus lyrochaeta,
Aglaophamus malmgreni,
Aglaophamus minusculus,
Aglaophamus rubella,
Aglaophamus verilli,
Aglaophamus verrilli,
Aglaophenia,
Aglaophenia acacia,
Aglaophenia kirchenpaueri,
Aglaophenia pluma,
Aglaophenia tubulifera,
Aglaopheniidae,
Aglaothamnion,
Aglaothamnion bipinnatum,
Aglaothamnion byssoides,
Aglaothamnion hookeri,
Aglaothamnion pseudobyssoides,
Aglaothamnion roseum,
Aglaothamnion sepositum,
Aglaothamnion tripinnatum,
Aglaozonia cutleria,
Aglaura hemistoma,
Aglossa caprealis,
Aglossa pinguinalis,
Agnewia tritoniformis,
Agnezia septentrionalis,
Agonandra brasiliensis,Agonandra brasiliensis Miers ex Benth.
Agonandra excelsa,Agonandra excelsa Griseb.
Agonidae,
Agonopsis vulsa,
Agonopterix angelicella,
Agonopterix arenella,
Agonopterix conterminella,
Agonopterix heracliana,
Agonopterix liturosa,
Agonopterix ocellana,
Agonopterix purpurea,
Agonopterix subpropinquella,
Agonostomus monticola,
Agonum,
Agonum aurelium,
Agonum chalcomum,
Agonum eurydamas,
Agonum fuliginosum,
Agonum gracile,
Agonum japonicum,
Agonum kitanoi,
Agonum lampros,
Agonum piceum,
Agonum thoreyi,
Agonus acipenserinus,
Agonus cataphractus,
Agoseris,
Agoseris taraxacifolia,Agoseris parviflora (Nutt.) D.Dietr.
Agraylea,
Agriopis aurantiaria,
Agriopis marginaria,
Agriopoma texasiana,
Agriopoma texasianum,
Agriphila geniculea,
Agriphila inquinatella,
Agriphila latistria,
Agriphila selasella,
Agriphila straminella,
Agriphila tristella,
Agrius convolvuli,
Agrochola circellaris,
Agrochola litura,
Agrochola lota,
Agrochola lychnidis,
Agrochola macilenta,
Agrochola pulchella,
Agrochola purpurea,
Agroperina dubitans,
Agroperina lateritia,
Agropsar philippensis,
Agropyron repens,Elymus repens (L.) Gould
Agropyron smithii,Elymus smithii (Rydb.) Gould
Agrostichthys parkeri,
Agrostis alpina,Agrostis alpina Scop.
Agrostis canina,Agrostis canina L.
Agrostis capillaris,Agrostis capillaris L.
Agrostis hyemalis,Agrostis hyemalis (Walter) Britton & al.
Agrostis rupestris,Agrostis rupestris All.
Agrostis stolonifera,Agrostis stolonifera L.
Agrostis vinealis,Agrostis vinealis Schreb.
Agrostistachys borneensis,Agrostistachys borneensis Becc.
Agrotera nemoralis,
Agrotis clavis,
Agrotis exclamationis,
Agrotis ipsilon,
Agrotis obliqua,
Agrotis segetum,
Agrotis vancouverensis,
Agrotis vestigialis,
Agrypnus cordicollis,
Ahliesaurs berryi,
Ahnfeldtia plicata,
Ahnfeltia,
Ahnfeltia plicata,
Ahnfeltiopsis devoniensis,
Ahnfeltiopsis flabelliformis,
Ahnfeltiopsis paradoxa,
Ahredoderus sayanus,
Aidanosagitta naikaiensis,
Aidanosagitta neglecta,
Aidanosagitta regularis,
Aidia wallichiana,Aidia densiflora (Wall.) Masam.
Ailanthus integrifolia,Ailanthus integrifolia Lam.
Aimophila aestivalis,
Aimophila botterii,
Aimophila carpalis,
Aimophila cassinii,
Aimophila ruficeps,
Aimulosia costata,
Aimulosia marsupium,
Aiphanes erinacea,Aiphanes erinacea (H.Karst.) H.Wendl.
Aiptasia,
Aiptasia mutabilis,
Aiptasiomorpha texaensis,
Aipysurus duboisii,
Aipysurus eydouxii,
Aipysurus laevis,
Aix galericulata,
Aix sponsa,
Aizoon paniculatum,Aizoon paniculatum L.
Ajuga pyramidalis,Ajuga pyramidalis L.
Ajuga reptans,Ajuga reptans L.
Aka,
Akanthophoreus australis,
Akanthophoreus gracilis,
Akarotaxis nudiceps,
Akashiwo sanguinea,
Akatopora circumsaepta,
Akera bullata,
Alaba incerta,
Alaba picta,
Alangium,
Alangium ebenaceum,Alangium ebenaceum (C.B.Clarke) Harms
Alangium griffithii,Alangium uniloculare (Griff.) King
Alangium nobile,Alangium nobile (C.B.Clarke) Harms
