parsed,fishbase
Limanda proboscidea,Limanda proboscidea
Limanda sakhalinensis,Limanda sakhalinensis
Limnichthys fasciatus,Limnichthys fasciatus
Limnichthys nitidus,Limnichthys nitidus
Limnichthys rendahli,Limnichthys rendahli
Linophryne,NA
Linophryne arborifera,Linophryne arborifera
Linophryne sexfilis,Linophryne sexfilis
Linophryne,NA
Linophrynidae,NA
Liocranium pleurostigma,Liocranium pleurostigma
Liocranium praepositum,Liocranium praepositum
Liopropoma latifasciatum,Liopropoma latifasciatum
Liopropoma rubre,Liopropoma rubre
Liopropoma,NA
Liopsetta glacialis,Liopsetta glacialis
Liparidae,NA
Liparididae,NA
Liparis coheni,Liparis coheni
Liparis cyclopus,Liparis cyclopus
Liparis dennyi,Liparis dennyi
Liparis fabricii,Liparis fabricii
Liparis florae,Liparis florae
Liparis fucensis,Liparis fucensis
Liparis gibbus,Liparis gibbus
Liparis inquilinus,Liparis inquilinus
Liparis liparis,Liparis liparis
Liparis montagui,Liparis montagui
Liparis mucosus,Liparis mucosus
Liparis pulchellus,Liparis pulchellus
Liparis rutteri,Liparis rutteri
Liparis tunicatus,Liparis tunicatus
Lipocheilus carnolabrum,Lipocheilus carnolabrum
Lipogenys gillii,Lipogenys gillii
Lipophrys pholis,Lipophrys pholis
Lithodoras dorsalis,Lithodoras dorsalis
Lithognathus mormyrus,Lithognathus mormyrus
Liza affinis,Planiliza affinis
Liza aurata,Chelon auratus
Liza macrolepis,Planiliza macrolepis
Liza ramada,Chelon ramada
Liza saliens,Chelon saliens
Lobianchia,NA
Lobianchia dofleini,Lobianchia dofleini
Lobianchia gemellari,Lobianchia gemellarii
Lobianchia gemellarii,Lobianchia gemellarii
Lobianchia,NA
Lobotes surinamensis,Lobotes surinamensis
Lobulogobius omanensis,Lobulogobius omanensis
Lonchopisthus meadi,Lonchopisthus lemur
Lonchopisthus micrognathus,Lonchopisthus micrognathus
Lophichthys boschmai,Lophichthys boschmai
Lophiiformes,NA
Lophiocharon trisignatus,Lophiocharon trisignatus
Lophiomus setigerus,Lophiomus setigerus
Lophius,NA
Lophius americanus,Lophius americanus
Lophius budegassa,Lophius budegassa
Lophius gastrophysus,Lophius gastrophysus
Lophius litulon,Lophius litulon
Lophius piscatorius,Lophius piscatorius
Lophius,NA
Lophodiodon calori,Lophodiodon calori
Lophodolus,NA
Lopholatilus chamaeleonticeps,Lopholatilus chamaeleonticeps
Lopholatilus villarii,Lopholatilus villarii
Lophonectes gallus,Lophonectes gallus
Loricariichthys platymetopon,Loricariichthys platymetopon
Lota lota,Lota lota
Lotella rhacina,Lotella rhacina
Lotella rhacinus,Lotella rhacina
Loweina interrupta,Loweina interrupta
Loweina rara,Loweina rara
Loweina,NA
Loxodon macrorhinus,Loxodon macrorhinus
Lubricogobius ornatus,Lubricogobius ornatus
Lucania goodei,Lucania goodei
Lucania parva,Lucania parva
Lucigados ori,NA
Lucigadus nigromaculatus,Lucigadus nigromaculatus
Luciogobius saikaiensis,Luciogobius saikaiensis
Luciosudis normani,Luciosudis normani
Lumiconger arafura,Lumiconger arafura
Lumpenella longirostris,Lumpenella longirostris
Lumpenidae,NA
Lumpenus,NA
Lumpenus fabricii,Lumpenus fabricii
Lumpenus lampretaeformis,Lumpenus lampretaeformis
Lumpenus lumpretaeformis,Lumpenus lampretaeformis
Lumpenus maculatus,Leptoclinus maculatus
Lumpenus sagitta,Lumpenus sagitta
Lutjanidae,NA
Lutjanus,NA
Lutjanus adetii,Lutjanus adetii
Lutjanus analis,Lutjanus analis
Lutjanus apodus,Lutjanus apodus
Lutjanus,NA
Lutjanus argentimaculatus,Lutjanus argentimaculatus
Lutjanus biguttatus,Lutjanus biguttatus
Lutjanus bitaeniatus,Lutjanus bitaeniatus
Lutjanus bohar,Lutjanus bohar
Lutjanus buccanella,Lutjanus buccanella
Lutjanus campechanus,Lutjanus campechanus
Lutjanus carponotatus,Lutjanus carponotatus
Lutjanus cyanopterus,Lutjanus cyanopterus
Lutjanus decussatus,Lutjanus decussatus
Lutjanus ehrenbergii,Lutjanus ehrenbergii
Lutjanus erythropterus,Lutjanus erythropterus
Lutjanus fulviflamma,Lutjanus fulviflamma
Lutjanus fulvus,Lutjanus fulvus
Lutjanus gibbus,Lutjanus gibbus
Lutjanus griseus,Lutjanus griseus
Lutjanus jocu,Lutjanus jocu
Lutjanus kasmira,Lutjanus kasmira
Lutjanus lemniscatus,Lutjanus lemniscatus
Lutjanus lutjanus,Lutjanus lutjanus
Lutjanus mahogoni,Lutjanus mahogoni
Lutjanus malabaricus,Lutjanus malabaricus
Lutjanus monostigma,Lutjanus monostigma
Lutjanus purpureus,Lutjanus purpureus
Lutjanus quinquelineatus,Lutjanus quinquelineatus
Lutjanus rivulatus,Lutjanus rivulatus
Lutjanus rufolineatus,Lutjanus rufolineatus
Lutjanus russelli,Lutjanus russellii
Lutjanus russellii,Lutjanus russellii
Lutjanus sebae,Lutjanus sebae
Lutjanus semicinctus,Lutjanus semicinctus
Lutjanus,NA
Lutjanus,NA
Lutjanus synagris,Lutjanus synagris
Lutjanus vitta,Lutjanus vitta
Lutjanus vivanus,Lutjanus vivanus
Luvarus,NA
Luxilus chrysocephalus,Luxilus chrysocephalus
Luxilus coccogenis,Luxilus coccogenis
Luxilus coccoogenis,NA
Luxilus cornutus,Luxilus cornutus
Luzonichthys,NA
Lycenchelys,NA
Lycenchelys alba,Lycenchelys alba
Lycenchelys jordani,Lycenchelys jordani
Lycenchelys kolthoffi,Lycenchelys kolthoffi
Lycenchelys muraena,Lycenchelys muraena
Lycenchelys paxillus,Lycenchelys paxillus
Lycenchelys sarsii,Lycenchelys sarsii
Lycenchelys verrillii,Lycenchelys verrillii
Lycodapus antarcticus,Lycodapus antarcticus
Lycodapus fierasfer,Lycodapus fierasfer
Lycodapus mandibularis,Lycodapus mandibularis
Lycodapus,NA
Lycodes,NA
Lycodes adolfi,Lycodes adolfi
Lycodes atlanticus,Lycodes terraenovae
Lycodes brevipes,Lycodes brevipes
Lycodes concolor,Lycodes concolor
Lycodes cortezianus,Lycodes cortezianus
Lycodes crassiceps,Pachycara crassiceps
Lycodes diapterus,Lycodes diapterus
Lycodes esmarkii,Lycodes esmarkii
Lycodes eudipleurostictus,Lycodes eudipleurostictus
Lycodes frigidus,Lycodes frigidus
Lycodes lavalaei,Lycodes lavalaei
Lycodes luetkenii,Lycodes luetkenii
Lycodes mcallisteri,Lycodes mcallisteri
Lycodes paamiuti,Lycodes paamiuti
Lycodes pacificus,Lycodes pacificus
Lycodes palearis,Lycodes palearis
Lycodes pallidus,Lycodes pallidus
Lycodes polaris,Lycodes polaris
Lycodes raridens,Lycodes raridens
Lycodes reticulatus,Lycodes reticulatus
Lycodes rossi,Lycodes rossi
Lycodes seminudus,Lycodes seminudus
Lycodes,NA
Lycodes squamiventer,Lycodes squamiventer
Lycodes terraenovae,Lycodes terraenovae
Lycodes vahlii,Lycodes vahlii
Lycodonus mirabilis,Lycodonus mirabilis
Lyconectes aleutensis,Cryptacanthodes aleutensis
Lyconus,NA
Lyopsetta exilis,Lyopsetta exilis
Lythrypnus dalli,Lythrypnus dalli
Lythrypnus nesiotes,Lythrypnus nesiotes
Macolor,NA
Macolor macularis,Macolor macularis
Macolor niger,Macolor niger
Macrocephenchelys brevirostris,Macrocephenchelys brevirostris
Macrodon ancylodon,Macrodon ancylodon
Macroparalepis,NA
Macroparalepis affine,Macroparalepis affinis
Macroparalepis brevis,Macroparalepis brevis
Macroparalepis danae,Macroparalepis danae
Macroparalepis macrogeneion,Macroparalepis macrogeneion
Macroparalepis macrugeneion,Macroparalepis macrogeneion
Macropharyngodon meleagris,Macropharyngodon meleagris
Macropharyngodon negrosensis,Macropharyngodon negrosensis
Macropharyngodon ornatus,Macropharyngodon ornatus
Macrophryngodon negrosensis,NA
Macropinna microstoma,Macropinna microstoma
Macroramphosus,NA
Macroramphosus scolopax,Macroramphosus scolopax
Macrorhamphosidae,NA
Macrorhamphosodes platycheilus,Macrorhamphosodes platycheilus
Macrorhamphosus gracilis,Macroramphosus gracilis
Macrorhamphosus scolopax,Macroramphosus scolopax
Macrorhamphosus,NA
Macrostomias longibarbatus,Stomias longibarbatus
Macrostomias,NA
Macrouridae,NA
Macrourus,NA
Macrourus berglax,Macrourus berglax
Macrourus carinatus,Macrourus carinatus
Macrourus holotrachys,Macrourus holotrachys
Macruronus,NA
Macruronus magellanicus,Macruronus magellanicus
Macruronus novaezelandiae,Macruronus novaezelandiae
Magnisudis atlantica,Magnisudis atlantica
Magnisudis prionosa,Magnisudis prionosa
Makaira indica,Istiompax indica
Makaira mazara,Makaira mazara
Malacanthus latovittatus,Malacanthus latovittatus
Malacanthus plumieri,Malacanthus plumieri
Malacocephalus laevis,Malacocephalus laevis
Malacocephalus occidentalis,Malacocephalus occidentalis
Malacocottus,NA
Malacocottus kincaidi,Malacocottus kincaidi
Malacocottus zonurus,Malacocottus zonurus
Malacoctenus aurolineatus,Malacoctenus aurolineatus
Malacoctenus boehlkei,Malacoctenus boehlkei
Malacoctenus gilli,Malacoctenus gilli
Malacoctenus macropus,Malacoctenus macropus
Malacoctenus triangulatus,Malacoctenus triangulatus
Malacoctenus versicolor,Malacoctenus versicolor
Malacoraja senta,Malacoraja senta
Malacosarcus,NA
Malacosteus,NA
Malacosteus niger,Malacosteus niger
Malacosteus,NA
Malakichthys elegans,Malakichthys elegans
Malakichthys levis,Malakichthys levis
Malakichthys wakiyae,Malakichthys wakiyae
Mallotus villosus,Mallotus villosus
Malthopsis annulifera,Malthopsis annulifera
Malthopsis lutea,Malthopsis lutea
Malthopsis,NA
Mancopsetta maculata,Mancopsetta maculata
Manta birostris,Mobula birostris
Margrethia,NA
Margrethia obtusirostra,Margrethia obtusirostra
Maroubra perserrata,Maroubra perserrata
Maulisia,NA
Maulisia mauli,Maulisia mauli
Maulisia,NA
Maurolicus,NA
Maurolicus australis,Maurolicus australis
Maurolicus muelleri,Maurolicus muelleri
Maurolicus mulleri,NA
Maurolicus stehmanni,Maurolicus stehmanni
Maurolicus weitzmani,Maurolicus weitzmani
Maxillicosta scabriceps,Maxillicosta scabriceps
Meadia abyssalis,Meadia abyssalis
Mecaenichthys immaculatus,Mecaenichthys immaculatus
Medialuna californiensis,Medialuna californiensis
Megalaspis cordyla,Megalaspis cordyla
Megalops,NA
Megalops atlanticus,Megalops atlanticus
Megalops cyprinoides,Megalops cyprinoides
Megalops larva,NA
Meiacanthus atrodorsalis,Meiacanthus atrodorsalis
Meiacanthus grammistes,Meiacanthus grammistes
Meiacanthus luteus,Meiacanthus luteus
Meiacanthus smithi,Meiacanthus smithi
Melamphaes,NA
Melamphaes ebelingi,Melamphaes ebelingi
Melamphaes eulepsis,NA
Melamphaes leprus,Melamphaes leprus
Melamphaes microps,Melamphaes microps
Melamphaes polylepis,Melamphaes polylepis
Melamphaes pumilus,Melamphaes pumilus
Melamphaes simus,Melamphaes simus
Melamphaes,NA
Melamphaes suborbitalis,Melamphaes suborbitalis
Melamphaes typhlops,Melamphaes typhlops
Melamphaidae,NA
Melanocetidae,NA
Melanocetus,NA
Melanocetus johnsoni,Melanocetus johnsonii
Melanocetus johnsonii,Melanocetus johnsonii
Melanocetus murrayi,Melanocetus murrayi
Melanocetus,NA
Melanogrammus aeglefinus,Melanogrammus aeglefinus
Melanogrammus aeglifinus,NA
Melanolagus bericoides,Melanolagus bericoides
Melanonus gracilis,Melanonus gracilis
Melanonus,NA
Melanonus zugmayeri,Melanonus zugmayeri
Melanorivulus apiamici,Melanorivulus apiamici
Melanostigma atlanticum,Melanostigma atlanticum
Melanostigma gelatinosum,Melanostigma gelatinosum
Melanostigma pammelas,Melanostigma pammelas
Melanostigma,NA
Melanostomias,NA
Melanostomias bartonbeani,Melanostomias bartonbeani
Melanostomias biseriatus,Melanostomias biseriatus
Melanostomias macrophotus,Melanostomias macrophotus
Melanostomias melanopogon,Melanostomias melanopogon
Melanostomias niger,Melanostomias niger
Melanostomias,NA
Melanostomias spilorhynchus,Melanostomias bartonbeani
Melanostomias valdiviae,Melanostomias valdiviae
Melanostomiatidae,NA
Melanostomiidae,NA
Melichthys indicus,Melichthys indicus
Melichthys niger,Melichthys niger
Melichthys vidua,Melichthys vidua
Melletes papillio,NA
Membras martinica,Membras martinica
Mendosoma lineatum,Mendosoma lineatum
Mene maculata,Mene maculata
Menidia beryllina,Menidia beryllina
Menidia menidia,Menidia menidia
Menticirrhus americanus,Menticirrhus americanus
Menticirrhus littoralis,Menticirrhus littoralis
Menticirrhus saxatilis,Menticirrhus saxatilis
Menticirrhus,NA
Mentodus facilis,Mentodus facilis
Mentodus longirostris,Mentodus longirostris
Mentodus,NA
Merlangius merlangus,Merlangius merlangus
Merluccius,NA
Merluccius albidus,Merluccius albidus
Merluccius australis,Merluccius australis
Merluccius bilinearis,Merluccius bilinearis
Merluccius hubbsi,Merluccius hubbsi
Merluccius merluccius,Merluccius merluccius
Merluccius productus,Merluccius productus
Merluccius,NA
Mesobius antipodum,Mesobius antipodum
Metavelifer multiradiatus,Metavelifer multiradiatus
Metelectrona ventralis,Metelectrona ventralis
Meuschenia australis,Meuschenia australis
Meuschenia flavolineata,Meuschenia flavolineata
Meuschenia freycineti,Meuschenia freycineti
Meuschenia galii,Meuschenia galii
Meuschenia hippocrepis,Meuschenia hippocrepis
Meuschenia scaber,Meuschenia scaber
Meuschenia trachylepis,Meuschenia trachylepis
Microcanthus strigatus,Microcanthus strigatus
Microchirus ocellatus,Microchirus ocellatus
Microchirus variagatus,NA
Microchirus variegatus,Microchirus variegatus
Microdesmidae,NA
Microdesmus lanceolatus,Microdesmus lanceolatus
Microgadus proximus,Microgadus proximus
Microgadus tomcod,Microgadus tomcod
Micrognathus vittatus,Micrognathus crinitus
Microgobius carri,Microgobius carri
Microgobius gulosus,Microgobius gulosus
Microgobius,NA
Microgobius thalassinus,Microgobius thalassinus
Micromesistius australis,Micromesistius australis
Micromesistius poutassou,Micromesistius poutassou
Micrometrus minimus,Micrometrus minimus
Microphis brachyurus,Microphis brachyurus
Micropogonias,NA
Micropogonias furnieri,Micropogonias furnieri
Micropogonias undulatus,Micropogonias undulatus
Micropterus dolomeiui,NA
Micropterus dolomieu,Micropterus dolomieu
Micropterus dolomieui,Micropterus dolomieu
Micropterus punctulatus,Micropterus punctulatus
Micropterus salmoides,Micropterus salmoides
Microspathodon chrysurus,Microspathodon chrysurus
Microstoma microstoma,Microstoma microstoma
Microstomus bathybius,Embassichthys bathybius
Microstomus kitt,Microstomus kitt
Microstomus pacificus,Microstomus pacificus
Minous coccineus,Minous coccineus
Minous monodactylus,Minous monodactylus
Minous pusillus,Minous pusillus
Minous quincarinatus,Minous quincarinatus
Minous,NA
Minous trachycephalus,Minous trachycephalus
Minous versicolor,Minous versicolor
Minytrema melanops,Minytrema melanops
Mirorictus taningi,Mirorictus taningi
Miroscyllium sheikoi,Miroscyllium sheikoi
Mitsukurina owstoni,Mitsukurina owstoni
Moenkhausia bonita,Moenkhausia bonita
Moenkhausia forestii,Moenkhausia forestii
Moenkhausia sanctaefilomenae,Moenkhausia sanctaefilomenae
Mola mola,Mola mola
Mola ramsayi,Mola alexandrini
Molidae,NA
Molva dypterigia,NA
Molva dypterygia,Molva dypterygia
Molva macropthalma,NA
Molva molva,Molva molva
Molva,NA
Monacanthidae,NA
Monacanthus,NA
Monacanthus chinensis,Monacanthus chinensis
Monacanthus ciliatus,Monacanthus ciliatus
Monacanthus hispidus,Stephanolepis hispidus
Monacanthus,NA
Monacanthus tuckeri,Monacanthus tuckeri
Monocentris japonica,Monocentris japonica
Monochirus hispidus,Monochirus hispidus
Monodactylus argenteus,Monodactylus argenteus
Monognathus,NA
Monognathus,NA
Monolene,NA
Monolene antillarum,Monolene antillarum
Monolene atrimana,Monolene atrimana
Monolene microstoma,Monolene microstoma
Monolene sessilicauda,Monolene sessilicauda
Monolene,NA
Monomitopus,NA
Monomitopus kumae,Monomitopus kumae
Monomitopus metriostoma,Monomitopus metriostoma
Monomitopus pallidus,Monomitopus pallidus
Monopitopus americanus,NA
Monotaxis grandoculis,Monotaxis grandoculis
Moolgarda seheli,Crenimugil seheli
Mora moro,Mora moro
Mordacia lapicida,Mordacia lapicida
Moridae,NA
Moringua ferruginea,Moringua ferruginea
Morone americana,Morone americana
Morone chrysops,Morone chrysops
Morone mississippiensis,Morone mississippiensis
Morone saxatilis,Morone saxatilis
Moxostoma anisurum,Moxostoma anisurum
Moxostoma breviceps,Moxostoma breviceps
Moxostoma carinatum,Moxostoma carinatum
Moxostoma duguesnei,NA
Moxostoma duquesni,NA
Moxostoma erythrurum,Moxostoma erythrurum
Moxostoma macrolepidotum,Moxostoma macrolepidotum
Moxostoma microlepidotum,NA
Moxostoma,NA
Moxostoma valenciennesi,Moxostoma valenciennesi
Mugil,NA
Mugil cephalus,Mugil cephalus
Mugil curema,Mugil curema
Mugilidae,NA
Mugil liza,Mugil liza
Mugil,NA
Mullidae,NA
Mulloides flavolineata,NA
Mulloidichthys flavolineatus,Mulloidichthys flavolineatus
Mulloidichthys martinicus,Mulloidichthys martinicus
Mulloidichthys vanicolensis,Mulloidichthys vanicolensis
Mullus,NA
Mullus argentinae,Mullus argentinae
Mullus auratus,Mullus auratus
Mullus barbatus,Mullus barbatus barbatus
Mullus,NA
Mullus surmuletus,Mullus surmuletus
Muraena helena,Muraena helena
Muraena retifera,Muraena retifera
Muraena,NA
Muraenesox bagio,Muraenesox bagio
Muraenesox cinereus,Muraenesox cinereus
Muraenidae,NA
Muraenolepis marmoratus,Muraenolepis marmorata
Muraenolepis microps,Muraenolepis microps
Muraenolepis,NA
Mustelus,NA
Mustelus antarcticus,Mustelus antarcticus
Mustelus asterias,Mustelus asterias
Mustelus canis,Mustelus canis
Mustelus fasciatus,Mustelus fasciatus
Mustelus griseus,Mustelus griseus
Mustelus lenticulatus,Mustelus lenticulatus
Mustelus manazo,Mustelus manazo
Mustelus mento,Mustelus mento
Mustelus mustelus,Mustelus mustelus
Mustelus schmitti,Mustelus schmitti
Mustelus,NA
Mustelus,NA
Mycteroperca,NA
Mycteroperca bonaci,Mycteroperca bonaci
Mycteroperca interstitialis,Mycteroperca interstitialis
Mycteroperca microlepis,Mycteroperca microlepis
Mycteroperca phenax,Mycteroperca phenax
Mycteroperca,NA
Mycteroperca tigris,Mycteroperca tigris
Mycteroperca venenosa,Mycteroperca venenosa
Myctophidae,NA
Myctophiformes,NA
Myctophum,NA
Myctophum affine,Myctophum affine
Myctophum asperum,Myctophum asperum
Myctophum brachygnathum,Myctophum brachygnathum
Myctophum nitidulum,Myctophum nitidulum
Myctophum obtusirostre,Myctophum obtusirostre
Myctophum orientale,Myctophum orientale
Myctophum phengodes,Myctophum phengodes
Myctophum punctatum,Myctophum punctatum
Myctophum selenops,Myctophum selenops
Myctophum,NA
Myersina filifer,Myersina filifer
Myliobatis,NA
Myliobatis aquila,Myliobatis aquila
Myliobatis australis,Myliobatis australis
Myliobatis californica,Myliobatis californica
Myliobatis freminvillei,Myliobatis freminvillei
Myliobatis freminvillii,Myliobatis freminvillei
Myliobatis goodei,Myliobatis goodei
Myliobatis tenuicaudatus,Myliobatis tenuicaudatus
Myliobatis tobijei,Myliobatis tobijei
Myliobatus tenuicaudatus,NA
Myoxocephalus,NA
Myoxocephalus aenaeus,Myoxocephalus aenaeus
Myoxocephalus aneaus,NA
Myoxocephalus jaok,Myoxocephalus jaok
Myoxocephalus octodecemspinosis,Myoxocephalus octodecemspinosus
Myoxocephalus octodecemspinosus,Myoxocephalus octodecemspinosus
Myoxocephalus polyacant,NA
Myoxocephalus polyacanthocephalus,Myoxocephalus polyacanthocephalus
Myoxocephalus scorpioides,Myoxocephalus scorpioides
Myoxocephalus scorpius,Myoxocephalus scorpius
Myoxocephalus,NA
Myoxocephalus verrucosus,Myoxocephalus scorpius
Myrichthys breviceps,Myrichthys breviceps
Myrichthys magnificus,Myrichthys magnificus
Myrichthys ocellatus,Myrichthys ocellatus
Myripristis adusta,Myripristis adusta
Myripristis amaena,Myripristis amaena
Myripristis berndti,Myripristis berndti
Myripristis botche,Myripristis botche
Myripristis chryseres,Myripristis chryseres
Myripristis hexagona,Myripristis hexagona
Myripristis jacobus,Myripristis jacobus
Myripristis kuntee,Myripristis kuntee
Myripristis murdjan,Myripristis murdjan
Myripristis,NA
Myripristis violacea,Myripristis violacea
Myripristis vittata,Myripristis vittata
Myrophis plumbeus,Myrophis plumbeus
Myrophis punctatus,Myrophis punctatus
Myrophis,NA
Myxine glutinosa,Myxine glutinosa
Myxine ios,Myxine ios
Myxinidae,NA
Myxiniformes,NA
Myzopsetta proboscidea,Limanda proboscidea
Nannobrachium atrum,Nannobrachium atrum
Nannoperca australis,Nannoperca australis
Nansenia,NA
Nansenia groenlandica,Nansenia groenlandica
Nansenia,NA
Narcetes,NA
Narcetes stomias,Narcetes stomias
Narcine brasiliensis,Narcine brasiliensis
Narcine lasti,Narcinops lasti
Narcine tasmaniensis,Narcinops tasmaniensis
Narcine timlei,Narcine timlei
Narcine westraliensis,Narcinops westraliensis
Narke japonica,Narke japonica
Naso,NA
Naso annulatus,Naso annulatus
Naso brachycentron,Naso brachycentron
Naso brevirostris,Naso brevirostris
Naso caeruleacauda,Naso caeruleacauda
Naso caesius,Naso caesius
Naso elegans,Naso elegans
Naso hexacanthus,Naso hexacanthus
Naso,NA
Naso lituratus,Naso lituratus
Naso lopezi,Naso lopezi
Nasolychnus fraseri,NA
Naso maculatus,Naso maculatus
Naso mcdadei,Naso mcdadei
Naso minor,Naso minor
Naso,NA
Naso,NA
Naso thynnoides,Naso thynnoides
Naso tonganus,Naso tonganus
Naso tuberosus,Naso tuberosus
Naso unicornis,Naso unicornis
Naso vlamingii,Naso vlamingii
Naucrates ductor,Naucrates ductor
Nautichthys oculofasciatus,Nautichthys oculofasciatus
Nealotus,NA
Nealotus tripes,Nealotus tripes
Neatypus obliquus,Neatypus obliquus
Nebris microps,Nebris microps
Nebrius ferrugineus,Nebrius ferrugineus
Nectamia fusca,Nectamia fusca
Nectoliparis pelagicus,Nectoliparis pelagicus
Negaprion acutidens,Negaprion acutidens
Nelusetta ayraudi,Nelusetta ayraud
Nemadactylus bergi,Nemadactylus bergi
Nemadactylus douglasi,Nemadactylus douglasii
Nemadactylus douglasii,Nemadactylus douglasii
Nemadactylus macropterus,Nemadactylus macropterus
Nemadactylus valenciennesi,Nemadactylus valenciennesi
Nemamyxine elongata,Nemamyxine elongata
Nematalosa come,Nematalosa come
Nematalosa japonica,Nematalosa japonica
Nematalosa vlaminghi,Nematalosa vlaminghi
Nemateleotris magnifica,Nemateleotris magnifica
Nematops macrochirus,Nematops macrochirus
Nemichthyidae,NA
Nemichthys curvirostris,Nemichthys curvirostris
Nemichthys scolapaceous,NA
Nemichthys scolopaceus,Nemichthys scolopaceus
Nemichthys,NA
Nemipterus aurifilum,Nemipterus aurifilum
Nemipterus,NA
Nemipterus balinensoides,Nemipterus balinensoides
Nemipterus bathybius,Nemipterus bathybius
Nemipterus celebicus,Nemipterus celebicus
Nemipterus furcosus,Nemipterus furcosus
Nemipterus hexodon,Nemipterus hexodon
Nemipterus isacanthus,Nemipterus isacanthus
Nemipterus japonicus,Nemipterus japonicus
Nemipterus marginatus,Nemipterus marginatus
Nemipterus nematopus,Nemipterus nematopus
Nemipterus peronii,Nemipterus peronii
Nemipterus randalli,Nemipterus randalli
Nemipterus,NA
Nemipterus,NA
Nemipterus,NA
Nemipterus theodorei,Nemipterus theodorei
Nemipterus thosaporni,Nemipterus thosaporni
Nemipterus virgatus,Nemipterus virgatus
Nemipterus zysron,Nemipterus zysron
Neoaploactis tridorsalis,Neoaploactis tridorsalis
Neobythites sivicola,Neobythites sivicola
Neobythites,NA
Neobythites,NA
Neobythites stigmosus,Neobythites stigmosus
Neobythites unimaculatus,Neobythites unimaculatus
Neocentropogon aeglefinis,Neocentropogon aeglefinus
Neocentropogon aeglefinus,Neocentropogon aeglefinus
Neocentropogon affinis,Neocentropogon affinis
Neocentropogon trimaculatus,Neocentropogon trimaculatus
Neochanna apoda,Neochanna apoda
Neochanna burrowsius,Neochanna burrowsius
Neochanna diversus,Neochanna diversus
Neochanna heleios,Neochanna heleios
Neochanna rekohua,Neochanna rekohua
Neocirrhites armatus,Neocirrhites armatus
Neoclinus blanchardi,Neoclinus blanchardi
Neocyttus helgae,Neocyttus helgae
Neocyttus rhomboidalis,Neocyttus rhomboidalis
Neoepinnula orientalis,Neoepinnula orientalis
Neoglyphidodon bonang,Neoglyphidodon bonang
Neoglyphidodon melas,Neoglyphidodon melas
Neoglyphidodon nigroris,Neoglyphidodon nigroris
Neoglyphidodon oxyodon,Neoglyphidodon oxyodon
Neoglyphidodon polyacanthus,Neoglyphidodon polyacanthus
Neoglyphidodon thoracotaeniatus,Neoglyphidodon thoracotaeniatus
Neolaeops microphthalmus,Neolaeops microphthalmus
Neomerinthe amplisquamiceps,Neomerinthe amplisquamiceps
Neomerinthe hemingwayi,Neomerinthe hemingwayi
Neomerinthe procurva,Neomerinthe procurva
Neomyxine biniplicata,Neomyxine biniplicata
Neonesthes capensis,Neonesthes capensis
Neoniphon argenteus,Neoniphon argenteus
Neoniphon marianus,Neoniphon marianus
Neoniphon opercularis,Neoniphon opercularis
Neoniphon sammara,Neoniphon sammara
Neoniphon,NA
Neoodax balteatus,Neoodax balteatus
Neopagetopsis ionah,Neopagetopsis ionah
Neophrynichthys latus,Neophrynichthys latus
Neophrynichthys magnicirrus,Ambophthalmos magnicirrus
Neoplatycephalus conatus,Platycephalus conatus
Neoplatycephalus richardsoni,Platycephalus richardsoni
Neopomacentrus anabantoides,NA
Neopomacentrus anabatoides,Neopomacentrus anabatoides
Neopomacentrus azysron,Neopomacentrus azysron
Neopomacentrus bankieri,Neopomacentrus bankieri
Neopomacentrus cyanomos,Neopomacentrus cyanomos
Neopomacentrus cyanomus,Neopomacentrus cyanomos
Neopomacentrus miryae,Neopomacentrus miryae
Neopomacentrus violascens,Neopomacentrus violascens
Neoscopelidae,NA
Neoscopelus macrolepidotus,Neoscopelus macrolepidotus
Neoscopelus microchir,Neoscopelus microchir
Neoscopelus,NA
Neosebastes bougainvillii,Neosebastes bougainvillii
Neosebastes entaxis,Neosebastes entaxis
Neosebastes incisipinnis,Neosebastes incisipinnis
Neosebastes nigropunctatus,Neosebastes nigropunctatus
Neosebastes occidentalis,Neosebastes occidentalis
Neosebastes pandus,Neosebastes pandus
Neosebastes scorpaenoides,Neosebastes scorpaenoides
Neosebastes thetidis,Neosebastes thetidis
Neosynchiropus ocellatus,Neosynchiropus ocellatus
Neotrygon kuhlii,Neotrygon kuhlii
Nerophis,NA
Nerophis lumbriciformis,Nerophis lumbriciformis
Nerophis ophidion,Nerophis ophidion
Nesiarchus nasutus,Nesiarchus nasutus
Nes longus,Nes longus
Nesogobius hinsbyi,Nesogobius hinsbyi
Nessorhamphus,NA
Nessorhamphus ingolfianus,Nessorhamphus ingolfianus
Nessorhamphus,NA
Nessorhampus ingolfianus,NA
Nettastoma melanurum,Nettastoma melanura
Nettastoma,NA
Nettastomatidae,NA
Nettastomidae,NA
Nettodarus,NA
Netuma thalassina,Netuma thalassina
Nezumia,NA
Nezumia aequalis,Nezumia aequalis
Nezumia bairdi,Nezumia bairdii
Nezumia bairdii,Nezumia bairdii
Nezumia duodecim,Nezumia duodecim
Nezumia kapala,Nezumia kapala
Nezumia longebarbata,Nezumia longebarbata
Nezumia longibarbatus,NA
Nezumia micronychodon,Nezumia micronychodon
Nezumia namatahi,Nezumia namatahi
Nezumia sclerorhynchus,Nezumia sclerorhynchus
Nezumia,NA
Nezumia,NA
Nezumia suilla,Nezumia suilla
Nibea albiflora,Nibea albiflora
