parsed,lcvp
Helianthus,
Helianthus annuus,Helianthus annuus L.
Helianthus maximiliani,Helianthus maximiliani Schrad.
Helianthus pauciflorus,Helianthus pauciflorus Nutt.
Helianthus petiolaris,Helianthus petiolaris Nutt.
Helichrysum crispum,Helichrysum crispum (L.) D.Don
Helichrysum cymosum,Helichrysum cymosum (L.) D.Don
Helichrysum patulum,Helichrysum patulum (L.) D.Don
Helicia attenuata,Helicia attenuata (Jack) Blume
Helicia australasica,Helicia australasica F.Muell.
Helicia grayi,Helicia grayi Foreman
Helicia lamingtoniana,Helicia lamingtoniana (F.M.Bailey) C.T.White ex L.S.Sm.
Helicia nortoniana,Helicia nortoniana (F.M.Bailey) F.M.Bailey
Heliciopsis velutina,Heliciopsis velutina (Prain) Sleumer
Heliconia,
Helicteres isora,Helicteres isora L.
Helictotrichon versicolor,Helictochloa versicolor (Vill.) RomeroZarco
Helietta apiculata,Helietta apiculata Benth.
Heliocarpus popayanensis,Heliocarpus popayanensis Kunth
Heliophila linearis,Heliophila linearis (Thunb.) DC.
Heliophila scoparia,Heliophila scoparia Burchard ex DC.
Henriettea ramiflora,Henriettea ramiflora (Sw.) DC.
Henriettea succosa,Henriettea succosa (Aubl.) DC.
Heracleum sphondylium,Heracleum sphondylium L.
Heritiera elata,Heritiera elata Ridl.
Heritiera javanica,Heritiera javanica (Blume) Kosterm.
Heritiera papilio,Heritiera papilio Bedd.
Heritiera simplicifolia,Heritiera simplicifolia (Mast.) Kosterm.
Hermannia multiflora,Hermannia multiflora Jacq.
Hermas villosa,Hermas villosa (L.) Thunb.
Hernandia albiflora,Hernandia albiflora (C.T.White) Kubitzki
Herrania,
Herrania purpurea,Herrania purpurea (Pittier) R.E.Schult.
Hesperostipa comata,Stipa comata Trin. & Rupr.
Hesperostipa neomexicana,Stipa neomexicana (Thurb.) Scribn.
Hesperostipa spartea,Stipa spartea Trin.
Heteranthera dubia,Heteranthera dubia (Jacq.) MacMill.
Heterosperma pinnatum,Heterosperma pinnatum Cav.
Heterothalamus psiadioides,Baccharis psiadioides (Less.) Joch.Müll.
Hevea,
Hevea benthamiana,Hevea benthamiana Müll.Arg.
Hevea brasiliensis,Hevea brasiliensis (Willd. ex A.Juss.) Müll.Arg.
Hieracium,
Hieracium alpinum,Hieracium alpinum L.
Hieracium bifidum,Hieracium bifidum Kit. ex Hornem.
Hieracium hoppeanum,Hieracium hoppeanum Wallr. ex Nyman
Hieracium lachenalii,Hieracium lachenalii Suter
Hieracium lactucella,Pilosella lactucella (Wallr.) P.D.Sell & C.West
Hieracium longipilum,Hieracium longipilum Torr. ex Hook.
Hieracium murorum,Hieracium murorum L.
Hieracium pilosella,Pilosella officinarum Vaill.
Hieracium piloselloides,Pilosella piloselloides (Vill.) Soják
Hieracium umbellatum,Hieracium umbellatum L.
Hierochloe alpina,Hierochloe alpina (Sw. ex Willd.) Roem. & Schult.
Hierochloe odorata,Hierochloe odorata (L.) P.Beauv.
Hierochloe pauciflora,Hierochloe pauciflora R.Br.
Hieronyma alchorneoides,Hieronyma alchorneoides Allemão
Himatanthus obovatus,Himatanthus obovatus (Müll.Arg.) Woodson
Hippia pilosa,Hippia pilosa (P.J.Bergius) Druce
Hippocrepis comosa,Hippocrepis comosa L.
Hippuris vulgaris,Hippuris vulgaris L.
Hirtella americana,Hirtella americana L.
Hirtella glandulosa,Hirtella glandulosa Spreng.
Hirtella hebeclada,Hirtella hebeclada Moric. ex DC.
Hirtella racemosa,Hirtella racemosa Lam.
Hirtella triandra,Hirtella triandra Sw.
Hoffmannseggia drepanocarpa,Hoffmannseggia drepanocarpa A.Gray
Hoffmannseggia glauca,Caesalpinia glauca (Ortega) Kuntze
Holcus lanatus,Holcus lanatus L.
Holcus mollis,Holcus mollis L.
Holigarna arnottiana,Holigarna arnottiana Hook.f.
Holigarna ferruginea,Holigarna ferruginea Marchand
Holigarna grahamii,Holigarna grahamii (Wight) Kurz
Holigarna nigra,Holigarna nigra Bourd.
Hollandaea sayeriana,Hollandaea sayeriana (F.Muell.) L.S.Sm.
Holocalyx balansae,Holocalyx balansae Micheli
Homalium caryophyllaceum,Homalium caryophyllaceum (Zoll. & Moritzi) Benth.
Homalium circumpinnatum,Homalium circumpinnatum F.M.Bailey
Homalium dictyoneurum,Homalium grandiflorum Benth.
Homalium longifolium,Homalium longifolium Benth.
Homalium zeylanicum,Homalium zeylanicum Benth.
Homogyne alpina,Homogyne alpina (L.) Cass.
Hopea dryobalanoides,Hopea dryobalanoides Miq.
Hopea mengarawan,Hopea mengarawan Miq.
Hopea ponga,Hopea ponga (Dennst.) Mabb.
Hopea sangal,Hopea sangal Korth.
Hordeum jubatum,Hordeum jubatum L.
Hordeum pusillum,Hordeum pusillum Nutt.
Horsfieldia brachiata,Horsfieldia brachiata (King) Warb.
Horsfieldia crassifolia,Horsfieldia crassifolia (Hook.f. & Thomson) Warb.
Horsfieldia flocculosa,Horsfieldia flocculosa (King) Warb.
Horsfieldia fulva,Horsfieldia fulva (King) Warb.
Horsfieldia polyspherula,Horsfieldia polyspherula (Hook.f.) J.Sinclair
Horsfieldia punctatifolia,Horsfieldia punctatifolia J.Sinclair
Horsfieldia stipulaceum,
Horsfieldia sucosa,Horsfieldia sucosa Warb.
Horsfieldia sumatrana,
Horsfieldia superba,Horsfieldia superba (Hook.f. & Thomson) Warb.
Horsfieldia tomentosa,Horsfieldia tomentosa Warb.
Horsfieldia wallichii,Horsfieldia wallichii (Hook.f. & Thomson) Warb.
Houstonia rubra,Houstonia rubra Cav.
Humboldtia brunonis,Humboldtia brunonis Wall.
Humiriastrum diguense,Humiriastrum diguense (Cuatrec.) Cuatrec.
Hunteria zeylanica,Hunteria zeylanica (Retz.) Gardner ex Thwaites
Huperzia selago,Huperzia selago (L.) Bernh. ex Mart. & Schrank
Hura crepitans,Hura crepitans L.
Hyalopoa pontica,Hyalopoa pontica (Balansa) Tzvelev
Hybanthus verticillatus,Pombalia verticillata (Ortega) Paula-Souza
Hydnocarpus alpina,
Hydnocarpus pentandra,
Hydrilla verticillata,Hydrilla verticillata (L.f.) Royle
Hydrocotyle exigua,Hydrocotyle exigua Malme
Hydrocotyle vulgaris,Hydrocotyle vulgaris L.
Hyeronima oblonga,
Hylandia dockrillii,Hylandia dockrillii AiryShaw
Hymenaca reticulata,
Hymenaea courbaril,Hymenaea courbaril L.
Hymenaea stigonocarpa,Hymenaea stigonocarpa Hayne
Hymenocallis latifolia,Hymenocallis latifolia (Mill.) M.Roem.
Hymenocallis palidosus,
Hymenodictyon orixense,Hymenodictyon orixense (Roxb.) Mabb.
Hymenolobium mesoamericanum,Hymenolobium mesoamericanum H.C.Lima
Hymenopappus corymbosus,Hymenopappus scabiosaeus L'Hér.
Hymenopappus filifolius,Hymenopappus filifolius Hook.
Hymenopappus scabiosaeus,Hymenopappus scabiosaeus L'Hér.
Hymenoxys richardsonii,Hymenoxys richardsonii (Hook.) Cockerell
Hymenoxys scaposa,Tetraneuris scaposa (DC.) Greene
Hypericum hypericoides,Hypericum hypericoides (L.) Crantz
Hypericum maculatum,Hypericum maculatum Crantz
Hypericum perforatum,Hypericum perforatum L.
Hypobathrium venulosum,
Hypobathrum racemosum,Hypobathrum racemosum (Roxb.) Kurz
Hypochaeris radicata,Hypochaeris radicata L.
Hypochaeris uniflora,Hypochaeris uniflora Vill.
Hypodiscus albo-aristatus,
Hypodiscus aristatus,Hypodiscus aristatus (Thunb.) C.Krauss
Hypodiscus willdenowia,Hypodiscus willdenowia (Nees) Mast.
Hypoxis decumbens,Hypoxis decumbens L.
Hyptis venuta,
Idiospermum australiense,Idiospermum australiense (Diels) S.T.Blake
Ifloga ambigua,Ifloga ambigua (L.) Druce
Iguanura wallichiana,Iguanura wallichiana (Mart.) Becc.
Ilex,
Ilex arnhemensis,Ilex arnhemensis (F.Muell.) Loes.
Ilex brasiliensis,Ilex brasiliensis (Spreng.) Loes.
Ilex brevicuspis,Ilex brevicuspis Reissek
Ilex dumosa,Ilex dumosa Reissek
Ilex macrophylla,Ilex latifolia Thunb. ex A.Murray
Ilex microdonta,Ilex microdonta Reissek
Ilex opaca,Ilex opaca Aiton
Ilex paraguariensis,Ilex paraguariensis A.St.-Hil.
Ilex paraguaryensis,
Ilex theezans,Ilex theezans Mart.
Ilex verticillata,Ilex verticillata (L.) A.Gray
Ilex yurumanguinis,Ilex yurumanguinis Cuatrec.
Indigo bunting,
Indigofera angustifolia,Indigofera angustifolia L.
Indigofera candolleana,Indigofera candolleana Meisn.
Indigofera cassioides,Indigofera cassioides DC.
Indigofera glomerata,Indigofera glomerata E.Mey.
Indigofera sarmentosa,Indigofera sarmentosa L.f.
Inga acuminata,Inga acuminata Benth.
Inga alba,Inga alba (Sw.) Willd.
Inga bella,Inga bella M.Sousa
Inga cocleensis,Inga cocleensis Pittier
Inga cylindrica,Inga cylindrica (Vell.) Mart.
Inga edulis,Inga edulis Mart.
Inga goldmanii,Inga goldmanii Pittier
Inga laurina,Inga laurina (Sw.) Willd.
Inga luschnathiana,Inga luschnathiana Benth.
Inga marginata,Inga marginata Kunth
Inga mucuna,Inga mucuna Walp.
Inga multicaulis,Inga multicaulis Benth.
Inga multijuga,Inga multijuga Benth.
Inga nobilis,Inga nobilis Willd.
Inga oerstediana,Inga oerstediana Benth.
Inga pezizifera,Inga pezizifera Benth.
Inga punctata,Inga punctata Willd.
Inga ruiziana,Inga ruiziana G.Don
Inga sapindoides,Inga sapindoides Willd.
Inga sertulifera,Inga sertulifera DC.
Inga spectabilis,Inga spectabilis (Vahl) Willd.
Inga striata,Inga striata Benth.
Inga thibaudiana,Inga thibaudiana DC.
Inga umbellifera,Inga umbellifera (Vahl) DC.
Inga uruguensis,Inga uruguensis Hook. & Arn.
Inga villosissima,Inga villosissima Benth.
Inga virescens,Inga virescens Benth.
Intsia palembanica,Intsia palembanica Miq.
Inula salicina,Inula acuminata Royle ex DC.
Ionactis alpina,Ionactis alpina (Nutt.) Greene
Ipomoea costellata,Ipomoea costellata Torr.
Ipomoea cristulata,Ipomoea cristulata Hallier.f.
Ipomopsis aggregata,Ipomopsis aggregata (Pursh) V.E.Grant
Ipomopsis laxiflora,Ipomopsis laxiflora (J.M.Coult.) V.E.Grant
Ipomopsis longiflora,Ipomopsis longiflora (Torr.) V.E.Grant
Ipomopsis pumila,Ipomopsis pumila (Nutt.) V.E.Grant
Iridaceae,
Iris sibirica,Iris sibirica L.
Irvingbaileya australis,Irvingbaileya australis (C.T.White) R.A.Howard
Irvingia malayana,Irvingia malayana Oliv. ex A.W.Benn.
Isanthus brachiatus,Trichostema brachiatum L.
Isonandra lanceolata,Isonandra lanceolata Wight
Itasina filifolia,Itasina filifolia (Thunb.) Raf.
Iva microcephala,Iva microcephala Nutt.
Ixonanthes icosandra,Ixonanthes icosandra Jack
Ixonanthes reticulata,Ixonanthes reticulata Jack
Ixora brevifolia,Ixora brevifolia Benth.
Ixora concinna,Ixora concinna R.Br. ex Hook.f.
Ixora congesta,Ixora congesta Roxb.
Ixora fuscotomento,
Ixora gardneriana,Ixora gardneriana Benth.
Ixora grandifolia,Ixora grandifolia Zoll. & Moritzi
Ixora incrassatum,
Ixora kingstoni,Ixora kingstoni Hook.f.
Ixora lanceolata,Ixora alba L.
Ixora lobbii,Ixora lobbii Loudon
Ixora nigricans,Ixora nigricans R.Br. ex Wight & Arn.
Ixora oreogena,Ixora oreogena S.T.Reynolds & P.I.Forst.
Ixora pendula,Ixora pendula Jack
Ixora venulosa,Ixora venulosa Benth.
Ixora warmingii,Ixora brevifolia Benth.
Jacaranda,
Jacaranda brasiliana,Jacaranda brasiliana (Lam.) Pers.
Jacaranda copaia,Jacaranda copaia (Aubl.) D.Don
Jacaranda micrantha,Jacaranda micrantha Cham.
Jacaranda puberula,Jacaranda puberula Cham.
Jacaratia spinosa,Jacaratia spinosa (Aubl.) A.DC.
Jackiopsis ornata,Jackiopsis ornata (Wall.) Ridsdale
Jagera pseudorhus,Jagera pseudorhus (A.Rich.) Radlk.
Jasione montana,Jasione montana L.
Juglans nigra,Juglans nigra L.
Juncus acutiflorus,Juncus acutiflorus Ehrh. ex Hoffm.
Juncus alpinus,Juncus alpinoarticulatus Chaix
Juncus arcticus,Juncus arcticus Willd.
Juncus biglumis,Juncus biglumis L.
Juncus canadensis,Juncus canadensis J.Gay ex Laharpe
Juncus conglomeratus,Juncus conglomeratus L.
Juncus dichotomus,Juncus dichotomus Elliott
Juncus effuses,
Juncus effusus,Juncus effusus L.
Juncus interior,Juncus interior Wiegand
Juncus jacquinii,Juncus jacquinii L.
Juncus kraussii,Juncus kraussii Hochst.
Juncus marginatus,Juncus marginatus Rostk.
Juncus subnodulosus,Juncus subnodulosus Schrank
Juncus tenuis,Juncus tenuis Willd.
Juncus trifidus,Juncus trifidus L.
Juncus triglumis,Juncus triglumis L.
Juniperus,
Juniperus communis,Juniperus communis L.
Juniperus monosperma,Juniperus monosperma (Engelm.) Sarg.
Juniperus virginiana,Juniperus virginiana L.
Justicia,
Justicia ovata,Justicia ovata (Walter) Lindau
Kallstroemia grandiflora,Kallstroemia grandiflora Torr. ex A.Gray
Kallstroemia hirsutissima,Kallstroemia hirsutissima Vail
Kallstroemia parviflora,Kallstroemia parviflora Norton
Kedrostis nana,Kedrostis nana (Lam.) Cogn.
Kefersteinia,
Kibara coriacea,Kibara coriacea (Blume) Hook.f. & A.Thomps.
Kibatalia maingayi,Kibatalia maingayi (Hook.f.) Woodson
Kielmeyera coriacea,Kielmeyera coriacea Mart. & Zucc.
Kielmeyera speciosa,Kielmeyera speciosa A.St.-Hil.
Kingiodendron pinnatum,Prioria pinnata (Roxb. ex DC.) Breteler
Kingstonia nervosa,Dendrokingstonia nervosa (Hook.f. & Thomson) Rauschert
Knautia arvensis,Knautia arvensis (L.) Coult.
Knema attenuata,Knema attenuata (Wall. ex Hook.f. & Thomson) Warb.
Knema conferta,Knema conferta (King) Warb.
Knema curtisii,
Knema furfuracea,Knema furfuracea (Hook.f. & Thomson) Warb.
Knema hookeriana,Knema hookeriana (Wall. ex Hook.f. & Thomson) Warb.
Knema intermedia,Knema intermedia (Blume) Warb.
Knema kunstleri,Knema kunstleri Warb.
Knema laurina,Knema laurina (Blume) Warb.
Knema malayana,Knema malayana Warb.
Knema patentinervia,Knema patentinervia (Sinclair) W.J.deWilde
Knema pseudolaurina,Knema pseudolaurina W.J.deWilde
Knema scortechinii,Knema scortechinii (King) J.Sinclair
Knema stenophylla,Knema stenophylla (Warb.) J.Sinclair
Knema sumatrana,Knema sumatrana (Blume) W.J.deWilde
Koanophyllon wetmorei,Koanophyllon wetmorei (B.L.Rob.) R.M.King & H.Rob.
Kobresia,
Kobresia myosuroides,Carex myosuroides Vill.
Kochia scoparia,Bassia scoparia (L.) A.J.Scott
Koeleria macrantha,Koeleria macrantha (Ledeb.) Schult.
Koeleria pyramidata,Koeleria pyramidata (Lam.) P.Beauv.
Koenigia islandica,Koenigia islandica L.
Koilodepas longifolium,Koilodepas longifolium Hook.f.
Kokoona reflexa,Kokoona reflexa (M.A.Lawson) DingHou
Koompassia malaccensis,Koompassia malaccensis Benth.
Krascheninnikovia lanata,Krascheninnikovia lanata (Pursh) A.Meeuse & A.Smit
Krigia cespitosa,
Krigia virginica,Krigia virginica (L.) Willd.
Kummerowia stipulacea,Kummerowia stipulacea (Maxim.) Makino
Kydia calycina,Kydia calycina Roxb.
Kyllinga vaginata,Kyllinga vaginata Lam.
Lachnaea densiflora,Lachnaea densiflora Meisn.
Lachnaea grandiflora,Lachnaea grandiflora (L.f.) Baill.
Lacistema aggregatum,Lacistema aggregatum (P.J.Bergius) Rusby
Lacistema hasslerianum,Lacistema hasslerianum Chodat
Lacmellea panamensis,Lacmellea panamensis (Woodson) Markgr.
Lactuca,
Lactuca canadensis,Lactuca canadensis L.
Lactuca ludoviciana,Lactuca ludoviciana (Nutt.) Riddell
Lactuca saligna,Lactuca saligna L.
Lactuca serriola,Lactuca serriola L.
Ladenbergia macrocarpa,Ladenbergia macrocarpa (Vahl) Klotzsch
Laennecia coulteri,Laennecia coulteri (A.Gray) G.L.Nesom
Laetia procera,Laetia procera (Poepp. & Endl.) Eichler
Laetia thamnia,Laetia thamnia L.
Lafoensia pacari,Lafoensia pacari A.St.-Hil.
Lafoensia punicifolia,Lafoensia punicifolia Bertero ex DC.
Lagerstroemia microcarpa,Lagerstroemia lanceolata Wall.
Lagerstroemia parviflora,Lagerstroemia parviflora Roxb.
Laginocarpus rigidus,
Lagotis glauca,Lagotis glauca Gaertn.
Laguncularia racemosa,Laguncularia racemosa (L.) C.F.Gaertn.
Lamanonia ternata,Lamanonia ternata Vell.
Lamium,
Lamium album,Lamium album L.
Lamium amplexicaule,Lamium amplexicaule L.
Lamium purpureum,Lamium purpureum L.
Lampranthus austricolus,Lampranthus austricolus L.Bolus
Lampranthus bicolor,Lampranthus bicolor (L.) N.E.Br.
Lampranthus falciformis,Oscularia falciformis (Haw.) H.E.K.Hartmann
Lampranthus promontorii,Lampranthus promontorii (L.Bolus) N.E.Br.
Lampranthus stenus,Lampranthus stenus (Haw.) N.E.Br.
Lampranthus tenuifolius,Lampranthus tenuifolius (L.) N.E.Br.
Lannea coromandelica,Lannea coromandelica (Houtt.) Merr.
Lansium domesticum,Lansium domesticum Corrêa
Lappula,
Lappula occidentalis,Lappula occidentalis (S.Watson) Greene
Lappula redowskii,Lappula redowskii (Hornem.) Greene
Larix decidua,Larix decidua Mill.
Larrea tridentata,Larrea tridentata (Sessé & Moc. ex DC.) Coville
Lasianthus,
Lasianthus lowianus,Saprosma lowiana (King & Gamble) H.Zhu
Lathyrus linifolius,Lathyrus linifolius (Reichard) Bässler
Lathyrus pratensis,Lathyrus pratensis L.
Lauraceae,
Laurembergia repens,Laurembergia tetrandra (Schott) Kanitz
Leandra dichotoma,Leandra dichotoma (Pav. ex D.Don) Cogn.
Leandra granatensis,Leandra granatensis Gleason
Lebeckia meyeriana,Lebeckia meyeriana Eckl. & Zeyh.
Lecythis,
Ledum decumbens,Rhododendron spec.
Ledum palustre,Rhododendron groenlandicum (Oeder) Kron & Judd
Leersia hexandra,Leersia hexandra Sw.
Leersia oryzoides,Leersia oryzoides (L.) Sw.
Leguminosae,
Leontodon autumnalis,Scorzoneroides autumnalis (L.) Moench
Leontodon helveticus,Scorzoneroides helvetica (Mérat) Holub
Leontodon hispidus,Leontodon hispidus L.
Leonurus cardiaca,Leonurus cardiaca L.
Lepidium,
Lepidium campestre,Lepidium campestre (L.) R.Br.
Lepidium densiflorum,Lepidium densiflorum Schrad.
Lepidium lasiocarpum,Lepidium lasiocarpum Nutt.
Lepidium virginicum,Lepidium virginicum L.
Lepidopetalum fructoglabrum,Lepidopetalum fructoglabrum Welzen
Lepidozamia hopei,Lepidozamia hopei (W.Hill) Regel
Lepisanthes fruticosa,Lepisanthes fruticosa (Roxb.) Leenh.
Lepisanthes griffithii,
Lepisanthes hirta,Lepisanthes rubiginosa (Roxb.) Leenh.
Lepisanthes senegalensis,Lepisanthes senegalensis (Juss. ex Poir.) Leenh.
Lepisanthes tetraphylla,Lepisanthes tetraphylla Radlk.
Leptochloa fasciculata,
Leptochoryphium lanatum,
Leptocoryphium lanatum,Anthenantia lanata (Kunth) Benth.
Leptonychia glabra,Leptonychia caudata (Wall. ex G.Don) Burret
Leptonychia moacurroides,Leptonychia caudata (Wall. ex G.Don) Burret
Leptosiphon harknessii,Leptosiphon harknessii (Curran) J.M.Porter & L.A.Johnson
Lespedeza capitata,Lespedeza capitata Michx.
Lespedeza hirta,Lespedeza hirta (L.) Hornem.
Lespedeza stuevei,Lespedeza stuevei Nutt.
Lespedeza violacea,Lespedeza violacea (L.) Pers.
Lesquerella fendleri,Physaria fendleri (A.Gray) O'Kane & Al-Shehbaz
Lesquerella gordoni,Physaria gordonii (A.Gray) O'Kane & Al-Shehbaz
Lesquerella ovalifolia,Physaria ovalifolia (Rydb.) O'Kane & Al-Shehbaz
Lesquerella pinetorum,Physaria pinetorum (Wooton & Standl.) O'Kane & Al-Shehbaz
Lethedon setosa,Lethedon setosa (C.T.White) Kosterm.
Leucadendron coniferum,Leucadendron coniferum Meisn.
Leucadendron laureolum,Leucadendron laureolum (Lam.) Fourc.
Leucadendron salignum,Leucadendron salignum P.J.Bergius
Leucadendron xanthoconus,Leucadendron xanthoconus (Kuntze) K.Schum.
Leucanthemopsis alpina,Leucanthemopsis alpina (L.) Heywood
Leucanthemum halleri,Leucanthemum halleri (Suter) Polatschek
Leucanthemum vulgare,Leucanthemum vulgare Lam.
Leucelene ericoides,Chaetopappa ericoides (Torr.) G.L.Nesom
Leuchorchis albida,
Leuciva dealbata,Leuciva dealbata (A.Gray) Rydb.
Leucospermum conocarpodendron,Leucospermum conocarpodendron (L.) H.Buek
Leucospermum hypophyllocarpodendron,Leucospermum hypophyllocarpodendron (L.) Druce
Leucospora multifida,Conobea multifida (Michx.) Benth.
Levieria acuminata,Levieria acuminata (F.Muell.) Perkins
Liatris punctata,Liatris punctata Hook.
Liatris squarrosa,Liatris squarrosa (L.) Willd.
Licania,
Licania apetala,Leptobalanus apetalus (E.Mey.) Sothers & Prance
Licania humilis,Leptobalanus humilis (Cham. & Schltdl.) Sothers & Prance
Licania humillis,
Licania hypoleuca,Licania hypoleuca Benth.
Licania platypus,Licania platypus (Hemsl.) Fritsch
Licania splendens,Licania splendens (Korth.) Prance
Licania veneralensis,Moquilea veneralensis (Cuatrec.) Sothers & Prance
Licuala ramsayi,Licuala ramsayi (F.Muell.) Domin
Ligusticum mutellina,Mutellina purpurea (Poir.) Reduron & al.
Ligusticum mutellinoides,Ligusticum mutellinoides Vill.
Liliopsida,
Limonium scabrum,Limonium scabrum (Thunb.) Kuntze
Linanthus bigelouii,
Linanthus pungens,Linanthus pungens (Torr.) J.M.Porter & L.A.Johnson
Linaria canadensis,Nuttallanthus canadensis (L.) D.A.Sutton
Linaria texana,Nuttallanthus texanus (Scheele) D.A.Sutton
Lindackeria laurina,Lindackeria laurina C.Presl
Lindera oxyphylla,Lindera oxyphylla (Nees) Hook.f.
Lindera queenslandica,Lindera queenslandica B.Hyland
Lindsayomyrtus racemoides,Lindsayomyrtus racemoides (Greves) Craven
Linociera,
Linum africanum,Linum africanum L.
Linum catharticum,Linum catharticum L.
Linum lewesii,
Linum medium,Linum medium (Planch.) Britton
Linum puberulum,Linum puberulum (Engelm.) A.Heller
Linum rigidum,Linum rigidum Pursh
Linum sulcatum,Linum sulcatum Riddell
Linum thunbergii,Linum thunbergii Eckl. & Zeyh.
Linum virginianum,Linum virginianum L.
Liparia parva,Liparia parva Walp.
Lithocarpus conocarpa,
Lithocarpus curtisii,Lithocarpus curtisii (King ex Hook.f.) A.Camus
Lithocarpus cyclophorus,Lithocarpus cyclophorus (Endl.) A.Camus
Lithocarpus ewyckii,Lithocarpus ewyckii (Korth.) Rehder
Lithocarpus lucida,
Lithocarpus rassa,Lithocarpus rassa (Miq.) Rehder
Lithocarpus wallichiana,
Lithocarpus wrayi,Lithocarpus wrayi (King) A.Camus
Lithospermum incisum,Lithospermum incisum Lehm.
Lithospermum ruderale,Lithospermum ruderale Douglas ex Lehm.
Lithraea brasiliensis,Lithraea brasiliensis Marchand
Lithraea molleoides,Lithraea molleoides (Vell.) Engl.
Litsea bennettii,Litsea bennettii B.Hyland
Litsea bindoniana,Litsea bindoniana (F.Muell.) F.Muell.
Litsea breviumbellata,Litsea breviumbellata C.K.Allen
Litsea castanea,Litsea castanea Hook.f.
Litsea connorsii,Litsea connorsii B.Hyland
Litsea costalis,Litsea costalis (Nees) Kosterm.
Litsea elliptica,Phoebe elliptica (Blume) Blume
Litsea erectinervia,Litsea erectinervia Kosterm.
Litsea fawcettiana,Litsea fawcettiana (F.Muell.) B.Hyland
Litsea ferruginea,Litsea ferruginea (Blume) Blume
Litsea firma,Litsea firma (Blume) Hook.f.
Litsea floribunda,Litsea floribunda (Blume) Gamble
Litsea fuscotomento,
Litsea grandis,Litsea grandis (Wall.) Hook.f.
Litsea leefeana,Litsea leefeana (F.Muell.) Merr.
Litsea machilifolia,Litsea machilifolia Gamble
Litsea magnifica,Litsea miquelii I.M.Turner
Litsea nidularis,Litsea costalis (Nees) Kosterm.
Litsea oleoides,Litsea oleoides (Meisn.) Hook.f.
Litsea resinosa,Litsea resinosa Blume
Litsea tomentosa,Litsea tomentosa Blume
Litsea wrayi,Litsea wrayi Gamble
Lloydia serotina,Gagea serotina (L.) KerGawl.
Lobelia anceps,Lobelia anceps L.f.
Lobelia comosa,Lobelia comosa L.
Lobelia coronopifolia,Lobelia coronopifolia L.
Lobelia pinifolia,Lobelia pinifolia L.
Lobelia setacea,Lobelia setacea Thunb.
Lobostemon fruticosus,Lobostemon fruticosus (L.) H.Buek
Loganiaceae,
Loiseleuria procumbens,Kalmia procumbens (L.) Gift & Kron ex Galasso & al.
Lolium multiflorum,Lolium multiflorum Lam.
Lolium perenne,Lolium perenne L.
Lomatia fraxinifolia,Lomatia fraxinifolia F.Muell. ex Benth.
Lomatium,
Lomatium foeniculaceum,Lomatium foeniculaceum (Nutt.) J.M.Coult. & Rose
Lomatium macrocarpum,Lomatium macrocarpum (Hook. & Arn.) J.M.Coult. & Rose
Lomatium orientale,Lomatium orientale J.M.Coult. & Rose
Lomatium triternatum,Lomatium triternatum (Pursh) J.M.Coult. & Rose
Lonchocarpus,
Lonchocarpus atropurpureus,Lonchocarpus atropurpureus Benth.
Lonchocarpus cultratus,Lonchocarpus cultratus (Vell.) A.M.G.Azevedo & H.C.Lima
Lonchocarpus heptaphyllus,Lonchocarpus heptaphyllus (Poir.) DC.
Lonchocarpus subglaucescens,Dahlstedtia floribunda (Vogel) M.J.Silva & A.M.G.Azevedo
Lonicera canadensis,Lonicera canadensis Bartram ex Marshall
Lonicera dioica,Lonicera dioica L.
Lophopetalum floribundum,Lophopetalum floribundum Wight
Lophopetalum wightianum,Lophopetalum wightianum Arn.
Lotus alpinus,Lotus alpinus (DC.) Ramond
Lotus corniculatus,Lotus corniculatus L.
Lotus plebeius,Acmispon oroboides (Kunth) Brouillet
Lotus plebius,Acmispon oroboides (Kunth) Brouillet
Lotus uliginosus,Lotus pedunculatus Cav.
Lozania mutisiana,Lozania mutisiana Schult.
Lozania pittieri,Lozania pittieri (S.F.Blake) L.B.Sm.
Lucilia acutifolia,Lucilia acutifolia (Poir.) Cass.
Lucilia nitens,Lucilia nitens Less.
Ludwigia curtisii,
Ludwigia microcarpa,Ludwigia microcarpa Michx.
Luehea alternifolia,Luehea alternifolia (Mill.) Mabb.
Luehea candicans,Luehea candicans Mart.
Luehea divaricata,Luehea divaricata Mart.
Luehea grandiflora,Luehea grandiflora Mart.
Luehea seemannii,Luehea seemannii Triana & Planch.
Lunania parviflora,Lunania parviflora Spruce ex Benth.
Lupinus,
Lupinus arcticus,Lupinus arcticus S.Watson
Lupinus brevicaulis,Lupinus brevicaulis S.Watson
Lupinus caudatus,Lupinus caudatus Kellogg
Lupinus coccinus,
Lupinus pusillus,Lupinus pusillus Pursh
Luzula,
Luzula alpinopilosa,Luzula alpinopilosa (Chaix) Breistr.
Luzula arctica,Luzula nivalis (Laest.) Spreng.
Luzula campestris,Luzula campestris (L.) DC.
Luzula confusa,Luzula confusa Lindeb.
Luzula lutea,Luzula lutea (All.) DC.
Luzula luzulina,Luzula luzulina (Vill.) Racib.
Luzula multiflora,Luzula multiflora (Ehrh.) Lej.
Luzula sieberi,Luzula sylvatica (Huds.) Gaudin
Luzula spicata,Luzula spicata (L.) DC.
Luzula wahlenbergii,Luzula wahlenbergii Rupr.
Lychnis alpina,Viscaria alpina (L.) G.Don
Lychnis flos-cuculi,Lychnis flos-cuculi L.
