parsed,ebird
Recurvirostra avosetta,pieavo1
Regulus calendula,ruckin
Regulus ignicapilla,firecr1
Regulus ignicapillus,NA
Regulus regules,NA
Regulus regulus,goldcr1
Regulus satrapa,gockin
Remiz pendulinus,euptit1
Riparia riparia,banswa
Rissa brevirostris,relkit
Rissa tridactyla,bklkit
Rostratula benghalensis,grpsni1
Rostrhamus sociabilis,snakit
Rynchops niger,blkski
Salpinctes obsoletus,rocwre
Saxicola rubetra,whinch1
Saxicola torquata,NA
Saxicola torquatus,afrsto1
Sayornis nigricans,blkpho
Sayornis phoebe,easpho
Sayornis saya,saypho
Sayornis spec,NA
Scolopacidae,NA
Scolopax rusticola,eurwoo
Seiurus aurocapilla,ovenbi1
Seiurus aurocapillus,NA
Seiurus motacilla,NA
Seiurus noveboracensis,NA
Selasphorus platycercus,brthum
Selasphorus rufus,rufhum
Selasphorus sasin,allhum
Setophaga americana,norpar
Setophaga caerulescens,btbwar
Setophaga castanea,babwar
Setophaga coronata,yerwar
Setophaga fusca,bkbwar
Setophaga magnolia,magwar
Setophaga pensylvanica,chswar
Setophaga pinus,pinwar
Setophaga ruticilla,amered
Setophaga striata,bkpwar
Setophaga tigrina,camwar
Setophaga virens,btnwar
Sialia currucoides,moublu
Sialia mexicana,wesblu
Sialia sialis,easblu
Sialia spec,NA
Sitta canadensis,rebnut
Sitta carolinensis,whbnut
Sitta europaea,eurnut2
Sitta pusilla,bnhnut
Sitta pygmaea,pygnut
Sittidae,NA
Somateria,NA
Somateria fischeri,speeid
Somateria mollissima,comeid
Somateria spectabilis,kineid
Speotyto cunicularia,NA
Sphyrapicus nuchalis,rensap
Sphyrapicus ruber,rebsap
Sphyrapicus thyroideus,wilsap
Sphyrapicus varius,yebsap
Spindalis zena,wesspi
Spinus pinus,pinsis
Spinus tristis,amegfi
Spiza americana,dickci
Spizella arborea,NA
Spizella atrogularis,bkcspa
Spizella breweri,brespa
Spizella pallida,clcspa
Spizella passerina,chispa
Spizella pusilla,fiespa
Spodiopsar cineraceus,whcsta1
Stelgidopteryx serripennis,nrwswa
Stellula calliope,NA
Stercorariidae,NA
Stercorarius,NA
Stercorarius longicaudus,lotjae
Stercorarius parasiti,NA
Stercorarius parasiticus,parjae
Stercorarius pomarinu,NA
Stercorarius pomarinus,pomjae
Stercorarius skua,gresku1
Sterna,NA
Sterna albifrons,NA
Sterna anaethetus,NA
Sterna antillarum,NA
Sterna balaenarum,NA
Sterna bengalensis,NA
Sterna bergii,NA
Sterna caspia,NA
Sterna dougallii,roster
Sterna elegans,NA
Sterna forsteri,forter
Sterna fuscata,NA
Sterna hirundo,comter
Sterna,NA
Sterna maxima,NA
Sterna paradisaea,arcter
Sterna,NA
Sterna repressa,whcter1
Sterna sandvicensis,NA
Sterna sumatrana,blnter1
Sterna virgata,kerter1
Sterna vittata,antter1
Sternula albifrons,litter1
Streptopelia decaocto,eucdov
Streptopelia orientalis,ortdov
Streptopelia turtur,eutdov
Strix aluco,tawowl1
Strix nebulosa,grgowl
Strix occidentalis,spoowl
Strix uralensis,uraowl1
Strix varia,brdowl
Sturnella magna,easmea
Sturnella neglecta,wesmea
Sturnus vulgaris,eursta
Sula,NA
Sula bedouti,NA
Sula dactylatra,masboo
Sula leucogaster,brnboo
Sula sula,refboo
Sulidae,NA
Surnia ulula,nohowl
Sylvia atricapilla,blackc1
Sylvia borin,garwar1
Sylvia communis,grewhi1
Sylvia curruca,leswhi4
Sylviidae,NA
Synthliboramphus,NA
Synthliboramphus antiquus,ancmur
Synthliboramphus craveri,cramur
Synthliboramphus hypoleucus,xanmur1
Syrmaticus soemmerringii,copphe1
Tachybaptus ruficollis,litgre1
Tachycineta bicolor,treswa
Tachycineta thalassina,vigswa
Tadorna tadorna,comshe
Tarsiger cyanurus,refblu
Terpsiphone atrocaudata,japfly1
Tetrao tetrix,blagro1
Tetrao urogallus,wescap1
Tetrastes bonasia,hazgro1
Thalassarche bulleri,bulalb2
Thalassarche carteri,NA
Thalassarche cauta,whcalb1
Thalassarche chrysostoma,gyhalb
Thalassarche eremita,shyalb2
Thalassarche melanoph,NA
Thalassarche melanophrys,NA
Thalassarche salvini,salalb1
Thalassarche steadi,NA
Thalassoica antarctica,antpet1
Threskiornithidae,NA
Thryomanes bewickii,bewwre
Thryothorus ludovicianus,carwre
Todus mexicanus,purtod1
Toxostoma bendirei,benthr
Toxostoma crissale,crithr
Toxostoma curvirostre,cubthr
Toxostoma lecontei,lecthr
Toxostoma longirostre,lobthr
Toxostoma redivivum,calthr
Toxostoma rufum,brnthr
Treron formosae,whgpig1
Treron sieboldii,whbpig1
Tringa,NA
Tringa erythropus,spored
Tringa flavipes,lesyel
Tringa glareola,woosan
Tringa guttifer,norgre1
Tringa melanoleuca,greyel
Tringa nebularia,comgre
Tringa ochropus,grnsan
Tringa solitaria,solsan
Tringa stagnatilis,marsan
Tringa totanus,comred1
Trochilidae,NA
Troglodytes aedon,houwre
Troglodytes hiemalis,winwre3
Troglodytes troglodytes,winwre4
Troglodytidae,NA
Trogon elegans,eletro
Turdidae,NA
Turdus cardis,japthr1
Turdus chrysolaus,brhthr1
Turdus iliacus,redwin
Turdus merula,eurbla
Turdus migratorius,amerob
Turdus naumanni,dusthr1
Turdus obscurus,eyethr
Turdus philomelos,sonthr1
Turdus pilaris,fieldf
Turdus plumbeus,relthr1
Turdus torquatus,rinouz1
Turdus viscivorus,misthr1
Tympanuchus cupido,grpchi
Tympanuchus pallidicinctus,lepchi
Tympanuchus phasianellus,shtgro
Tyrannus couchii,coukin
Tyrannus crassirostris,thbkin
Tyrannus dominicensis,grykin
Tyrannus forficatus,sctfly
Tyrannus melancholicus,trokin
Tyrannus tyrannus,easkin
Tyrannus verticalis,weskin
Tyrannus vociferans,caskin
Tyto alba,brnowl
Upupa epops,hoopoe
Uragus sibiricus,NA
Uria,NA
Uria aalge,commur
Uria lomvia,thbmur
Uria,NA
Urosphena squameiceps,asistu1
Vanellus cinereus,gyhlap1
Vanellus vanellus,norlap
Vermivora celata,NA
Vermivora chrysoptera,gowwar
Vermivora cyanoptera,buwwar
Vermivora luciae,NA
Vermivora peregrina,NA
Vermivora pinus,NA
Vermivora ruficapilla,NA
Vermivora virginiae,NA
Vireo,NA
Vireo altiloquus,bkwvir
Vireo atricapillus,NA
Vireo bellii,belvir
Vireo cassinii,casvir
Vireo flavifrons,yetvir
Vireo gilvus,warvir
Vireo griseus,whevir
Vireo huttoni,hutvir
Vireo olivaceu,NA
Vireo olivaceus,reevir1
Vireo philadelphicus,phivir
Vireo plumbeus,plsvir
Vireo solitarius,buhvir
Vireo spec,NA
Vireo unidentified,NA
Vireo vicinior,gryvir
Wilsonia canadensis,NA
Wilsonia citrina,NA
Wilsonia pusilla,NA
Xanthocephalus xanthocephalus,yehbla
Xema sabini,sabgul
Xenus cinereus,tersan
Zenaida asiatica,whwdov
Zenaida macroura,moudov
Zonotrichia albicollis,whtspa
Zonotrichia leucophrys,whcspa
Zonotrichia querula,harspa
Zoothera dauma,scathr8
Zoothera naevia,NA
Zoothera sibirica,NA
Zosterops japonicus,warwhe1
